occurred_at,topic,event_type,actor_user_id,payload_json
2026-08-09T08:18:48.156460+00:00,kv/user/presence,user.presence,6a76c744ce74809fc9f10892,"{""event"": ""user.presence"", ""user_id"": ""6a76c744ce74809fc9f10892"", ""is_online"": true, ""occurred_at"": ""2026-08-09T08:18:48.109124+00:00""}"
2026-08-09T08:19:49.958773+00:00,kv/user/presence,user.presence,6a76c744ce74809fc9f10892,"{""event"": ""user.presence"", ""user_id"": ""6a76c744ce74809fc9f10892"", ""is_online"": true, ""occurred_at"": ""2026-08-09T08:19:49.945673+00:00""}"
2026-08-09T08:19:50.030950+00:00,kv/user/presence,user.presence,6a77089bd239101768f76924,"{""event"": ""user.presence"", ""user_id"": ""6a77089bd239101768f76924"", ""is_online"": true, ""occurred_at"": ""2026-08-09T08:19:50.014719+00:00""}"
2026-08-09T08:19:52.635578+00:00,kv/message/sent/6a77089bd239101768f76924,message.sent,6a76c744ce74809fc9f10892,"{""event"": ""message.sent"", ""message_id"": ""6a7838283b07e38a161a139f"", ""conversation_id"": ""6a76c744ce74809fc9f10892_6a77089bd239101768f76924"", ""from_user_id"": ""6a76c744ce74809fc9f10892"", ""from_full_name"": ""Donor Flow Test"", ""to_user_id"": ""6a77089bd239101768f76924"", ""text"": ""WS live test 1786263592.55754"", ""created_at"": ""2026-08-09T08:19:52.588783+00:00"", ""delivered_at"": ""2026-08-09T08:19:52.588783+00:00""}"
2026-08-09T08:19:53.317434+00:00,kv/user/presence,user.presence,6a77089bd239101768f76924,"{""event"": ""user.presence"", ""user_id"": ""6a77089bd239101768f76924"", ""is_online"": false, ""occurred_at"": ""2026-08-09T08:19:53.314623+00:00""}"
2026-08-09T08:25:54.731092+00:00,kv/user/presence,user.presence,6a76c744ce74809fc9f10892,"{""event"": ""user.presence"", ""user_id"": ""6a76c744ce74809fc9f10892"", ""is_online"": false, ""occurred_at"": ""2026-08-09T08:25:54.727642+00:00""}"
