occurred_at,topic,event_type,actor_user_id,payload_json
2026-08-06T21:40:22.855719+00:00,kv/user/registered,user.registered,6a74ff46375c06fddfece2ed,"{""event"": ""user.registered"", ""user_id"": ""6a74ff46375c06fddfece2ed"", ""category"": ""education"", ""cadre_code"": ""TEACHER_PRIMARY"", ""subjects"": [], ""current_station"": {""region_id"": 4, ""region_name"": ""Dodoma"", ""district_id"": 25, ""district_name"": ""Dodoma Cc"", ""facility_id"": ""6212"", ""facility_name"": ""Uhuru"", ""facility_type"": ""Primary""}, ""desired_destinations"": [{""region_id"": 3, ""region_name"": ""Dar Es Salaam"", ""district_id"": 18, ""district_name"": ""Kigamboni Mc"", ""facility_id"": null, ""facility_name"": null, ""notes"": null}], ""occurred_at"": ""2026-08-06T21:40:22.273888+00:00""}"
2026-08-06T21:43:10.792324+00:00,kv/user/registered,user.registered,6a74ffee375c06fddfece2f0,"{""event"": ""user.registered"", ""user_id"": ""6a74ffee375c06fddfece2f0"", ""category"": ""health"", ""cadre_code"": ""CO"", ""subjects"": [], ""current_station"": {""region_id"": 3, ""region_name"": ""Dar Es Salaam"", ""district_id"": 17, ""district_name"": ""Ilala Mc"", ""facility_id"": null, ""facility_name"": null, ""facility_type"": null}, ""desired_destinations"": [{""region_id"": 4, ""region_name"": ""Dodoma"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": null}], ""occurred_at"": ""2026-08-06T21:43:10.434593+00:00""}"
2026-08-06T21:47:25.378297+00:00,kv/user/registered,user.registered,6a7500ed375c06fddfece2f3,"{""event"": ""user.registered"", ""user_id"": ""6a7500ed375c06fddfece2f3"", ""category"": ""education"", ""cadre_code"": ""TEACHER_SECONDARY"", ""subjects"": [""MATH"", ""PHYS"", ""CHEM"", ""BIO""], ""current_station"": {""region_id"": 3, ""region_name"": ""Dar Es Salaam"", ""district_id"": 17, ""district_name"": ""Ilala Mc"", ""facility_id"": null, ""facility_name"": null, ""facility_type"": null}, ""desired_destinations"": [{""region_id"": 4, ""region_name"": ""Dodoma"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": ""Kwa familia""}, {""region_id"": 17, ""region_name"": ""Mwanza"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": ""Nataka Ilemela""}, {""region_id"": 14, ""region_name"": ""Mbeya"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": null}, {""region_id"": 10, ""region_name"": ""Kilimanjaro"", ""district_id"": null, ""district_name"": null, ""facility_id"": null, ""facility_name"": null, ""notes"": ""Moshi mjini""}], ""occurred_at"": ""2026-08-06T21:47:24.977618+00:00""}"
2026-08-06T21:47:25.416895+00:00,kv/match/found,match.found,6a74532c4a29340f3c9bdccd,"{""event"": ""match.found"", ""user_a_id"": ""6a74532c4a29340f3c9bdccd"", ""user_b_id"": ""6a7500ed375c06fddfece2f3"", ""score"": 0.65, ""occurred_at"": ""2026-08-06T21:47:25.384173+00:00""}"
2026-08-06T21:47:25.424534+00:00,kv/match/found,match.found,6a7454d64a29340f3c9bdcdf,"{""event"": ""match.found"", ""user_a_id"": ""6a7454d64a29340f3c9bdcdf"", ""user_b_id"": ""6a7500ed375c06fddfece2f3"", ""score"": 0.65, ""occurred_at"": ""2026-08-06T21:47:25.384173+00:00""}"
2026-08-06T21:47:25.427037+00:00,kv/match/found,match.found,6a7454d74a29340f3c9bdce0,"{""event"": ""match.found"", ""user_a_id"": ""6a7454d74a29340f3c9bdce0"", ""user_b_id"": ""6a7500ed375c06fddfece2f3"", ""score"": 0.65, ""occurred_at"": ""2026-08-06T21:47:25.384173+00:00""}"
2026-08-06T21:47:25.430315+00:00,kv/match/found,match.found,6a7454d84a29340f3c9bdce2,"{""event"": ""match.found"", ""user_a_id"": ""6a7454d84a29340f3c9bdce2"", ""user_b_id"": ""6a7500ed375c06fddfece2f3"", ""score"": 0.65, ""occurred_at"": ""2026-08-06T21:47:25.384173+00:00""}"
2026-08-06T21:47:25.433016+00:00,kv/match/found,match.found,6a745d9b4a29340f3c9bdce3,"{""event"": ""match.found"", ""user_a_id"": ""6a745d9b4a29340f3c9bdce3"", ""user_b_id"": ""6a7500ed375c06fddfece2f3"", ""score"": 0.65, ""occurred_at"": ""2026-08-06T21:47:25.384173+00:00""}"
2026-08-06T21:50:30.088801+00:00,kv/message/sent/6a74532c4a29340f3c9bdccd,message.sent,6a7500ed375c06fddfece2f3,"{""event"": ""message.sent"", ""message_id"": ""6a7501a6375c06fddfece2fa"", ""conversation_id"": ""6a74532c4a29340f3c9bdccd_6a7500ed375c06fddfece2f3"", ""from_user_id"": ""6a7500ed375c06fddfece2f3"", ""from_full_name"": ""Juma Athumani Mwalimu"", ""to_user_id"": ""6a74532c4a29340f3c9bdccd"", ""text"": ""mambo mwalimu"", ""created_at"": ""2026-08-06T21:50:30.026507+00:00""}"
2026-08-06T21:50:40.144760+00:00,kv/message/sent/6a74532c4a29340f3c9bdccd,message.sent,6a7500ed375c06fddfece2f3,"{""event"": ""message.sent"", ""message_id"": ""6a7501b0375c06fddfece2fc"", ""conversation_id"": ""6a74532c4a29340f3c9bdccd_6a7500ed375c06fddfece2f3"", ""from_user_id"": ""6a7500ed375c06fddfece2f3"", ""from_full_name"": ""Juma Athumani Mwalimu"", ""to_user_id"": ""6a74532c4a29340f3c9bdccd"", ""text"": ""unaendeleaje"", ""created_at"": ""2026-08-06T21:50:40.138449+00:00""}"
